simulation,s_statistic
1,3
2,3
3,2
4,4
5,3
6,3
7,3
8,2
9,3
10,3
11,2
12,5
13,3
14,4
15,4
16,6
17,3
18,3
19,2
20,4
21,4
22,2
23,4
24,3
25,2
26,3
27,3
28,2
29,2
30,4
31,4
32,3
33,3
34,4
35,3
36,2
37,3
38,4
39,4
40,3
41,3
42,5
43,3
44,4
45,3
46,3
47,4
48,2
49,3
50,3
51,3
52,3
53,4
54,2
55,4
56,3
57,3
58,3
59,2
60,5
61,3
62,3
63,5
64,3
65,5
66,3
67,3
68,2
69,3
70,3
71,2
72,2
73,3
74,4
75,4
76,2
77,3
78,2
79,3
80,2
81,3
82,2
83,3
84,2
85,4
86,3
87,4
88,5
89,5
90,3
91,4
92,3
93,3
94,3
95,4
96,4
97,4
98,4
99,3
100,3
101,3
102,3
103,4
104,3
105,3
106,3
107,4
108,3
109,5
110,4
111,3
112,4
113,4
114,3
115,3
116,4
117,3
118,4
119,3
120,4
121,5
122,2
123,5
124,4
125,3
126,4
127,4
128,3
129,2
130,4
131,3
132,2
133,3
134,3
135,3
136,3
137,4
138,3
139,3
140,4
141,2
142,5
143,3
144,4
145,3
146,2
147,3
148,3
149,2
150,3
151,4
152,3
153,4
154,3
155,3
156,3
157,3
158,4
159,3
160,4
161,4
162,4
163,4
164,3
165,2
166,3
167,3
168,3
169,3
170,4
171,3
172,4
173,4
174,3
175,2
176,3
177,3
178,3
179,3
180,4
181,3
182,3
183,3
184,4
185,2
186,3
187,2
188,3
189,4
190,3
191,4
192,4
193,4
194,3
195,3
196,2
197,2
198,3
199,3
200,4
201,3
202,3
203,2
204,3
205,2
206,3
207,5
208,3
209,2
210,3
211,4
212,2
213,3
214,2
215,4
216,3
217,3
218,3
219,4
220,4
221,3
222,3
223,5
224,4
225,4
226,3
227,3
228,3
229,2
230,2
231,3
232,4
233,3
234,4
235,3
236,2
237,3
238,4
239,5
240,4
241,3
242,3
243,3
244,4
245,3
246,3
247,3
248,5
249,3
250,4
251,2
252,3
253,4
254,3
255,3
256,3
257,4
258,3
259,4
260,2
261,3
262,3
263,2
264,5
265,4
266,4
267,2
268,3
269,3
270,4
271,4
272,3
273,3
274,3
275,4
276,3
277,4
278,3
279,3
280,3
281,3
282,4
283,3
284,4
285,3
286,3
287,2
288,3
289,4
290,4
291,2
292,3
293,3
294,3
295,3
296,5
297,3
298,4
299,3
300,2
301,3
302,2
303,3
304,5
305,4
306,3
307,3
308,3
309,2
310,3
311,4
312,2
313,4
314,3
315,3
316,3
317,3
318,4
319,4
320,3
321,3
322,3
323,3
324,4
325,3
326,4
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,4
336,3
337,5
338,2
339,4
340,3
341,4
342,3
343,2
344,4
345,3
346,4
347,2
348,2
349,3
350,4
351,4
352,3
353,3
354,2
355,3
356,4
357,3
358,4
359,3
360,5
361,2
362,2
363,4
364,3
365,3
366,3
367,4
368,4
369,4
370,3
371,3
372,2
373,2
374,3
375,3
376,4
377,4
378,5
379,2
380,4
381,3
382,3
383,3
384,4
385,4
386,4
387,4
388,4
389,3
390,2
391,4
392,3
393,3
394,3
395,2
396,3
397,3
398,3
399,5
400,3
401,3
402,3
403,3
404,3
405,4
406,4
407,3
408,3
409,4
410,2
411,2
412,2
413,3
414,4
415,3
416,3
417,2
418,3
419,3
420,6
421,3
422,6
423,4
424,4
425,2
426,4
427,3
428,3
429,2
430,2
431,2
432,3
433,4
434,4
435,4
436,3
437,4
438,2
439,2
440,3
441,3
442,4
443,3
444,2
445,3
446,4
447,3
448,5
449,4
450,2
451,3
452,2
453,2
454,4
455,3
456,3
457,2
458,2
459,5
460,3
461,3
462,3
463,3
464,4
465,3
466,4
467,3
468,4
469,3
470,4
471,2
472,3
473,3
474,3
475,4
476,4
477,4
478,3
479,4
480,4
481,6
482,3
483,2
484,3
485,4
486,3
487,4
488,4
489,3
490,3
491,3
492,2
493,2
494,3
495,3
496,3
497,2
498,4
499,5
500,3
501,3
502,4
503,2
504,4
505,3
506,3
507,3
508,2
509,4
510,4
511,3
512,3
513,3
514,5
515,3
516,3
517,3
518,3
519,2
520,3
521,4
522,5
523,4
524,3
525,2
526,2
527,3
528,4
529,3
530,4
531,4
532,4
533,5
534,4
535,4
536,3
537,4
538,3
539,3
540,3
541,4
542,3
543,2
544,4
545,3
546,3
547,4
548,3
549,5
550,3
551,3
552,2
553,3
554,3
555,4
556,3
557,3
558,3
559,3
560,4
561,4
562,4
563,3
564,5
565,4
566,2
567,3
568,3
569,4
570,3
571,2
572,4
573,3
574,3
575,3
576,3
577,3
578,4
579,4
580,2
581,4
582,4
583,6
584,4
585,3
586,2
587,4
588,2
589,4
590,4
591,4
592,3
593,3
594,3
595,5
596,3
597,3
598,5
599,3
600,2
601,3
602,3
603,3
604,4
605,3
606,4
607,4
608,4
609,5
610,3
611,4
612,3
613,4
614,5
